#separator:Tab
#html:true
#columns:ID	Front	Back	Explanation	Tags
#tags column:5
"clf-c02-2026-08-28-024"	"What is an Availability Zone?"	"One or more discrete data centers with redundant power, networking, and connectivity within an AWS Region."	"AZs are designed for fault isolation while maintaining low-latency connectivity to other AZs in the Region.<br><strong>Example:</strong> A workload runs in two AZs in the same Region so one data-center failure does not stop the service."	"CLF-C02 Cloud Concepts day::2026-08-28 chat::2026-08-28_-_Chat_3_—_Global_Infrastructure_&_VPC type::recall topic::Global_infrastructure topic::Availability_Zones"
"clf-c02-2026-08-28-025"	"What is the geographic scope of an Amazon VPC?"	"A VPC belongs to one AWS Region and can span that Region’s Availability Zones."	"Subnets divide the VPC at the AZ level.<br><strong>Example:</strong> A VPC in eu-west-1 can contain subnets in several AZs there, but it cannot extend into eu-central-1."	"CLF-C02 Cloud Technology and Services day::2026-08-28 chat::2026-08-28_-_Chat_3_—_Global_Infrastructure_&_VPC type::recall topic::Networking topic::VPC_scope"
"clf-c02-2026-08-28-026"	"Can one subnet span multiple Availability Zones?"	"No. A subnet resides entirely within one Availability Zone."	"An Availability Zone can contain multiple subnets, but a subnet cannot cross AZ boundaries.<br><strong>Example:</strong> A company creates one public and one private subnet in each of two Availability Zones for resilience."	"CLF-C02 Cloud Technology and Services day::2026-08-28 chat::2026-08-28_-_Chat_3_—_Global_Infrastructure_&_VPC type::recall topic::Networking topic::Subnets"
"clf-c02-2026-08-28-027"	"An EC2 instance is placed in a subnet whose route table has a route to an internet gateway. Is the instance automatically reachable from the internet?"	"No. It also needs an appropriate public address and security rules that allow the traffic."	"A route makes the subnet public, but internet reachability depends on routing, addressing, and filtering together.<br><strong>Example:</strong> A public web server needs a public IP, a route to the internet gateway, and security rules allowing HTTPS."	"CLF-C02 Cloud Technology and Services day::2026-08-28 chat::2026-08-28_-_Chat_3_—_Global_Infrastructure_&_VPC type::scenario topic::Networking topic::Public_subnets"
"clf-c02-2026-08-28-028"	"Why might `us-east-1a` refer to different physical zones in two AWS accounts?"	"Availability Zone letter mappings can differ by account."	"Use AZ IDs when different accounts must coordinate on the same physical Availability Zone.<br><strong>Example:</strong> Two accounts compare the AZ ID use1-az2 because the label us-east-1a may map differently in each account."	"CLF-C02 Cloud Concepts day::2026-08-28 chat::2026-08-28_-_Chat_3_—_Global_Infrastructure_&_VPC type::recall topic::Global_infrastructure topic::Availability_Zone_IDs"
"clf-c02-2026-08-28-029"	"How can an S3 bucket be Regional while its name is globally unique?"	"The bucket’s data resides in a selected Region, while its name must be unique across the general-purpose bucket namespace."	"A global console view and global naming do not mean that bucket data is automatically stored worldwide.<br><strong>Example:</strong> The name company-receipts must be globally unique, but its objects can still reside only in the selected eu-west-1 Region."	"CLF-C02 Cloud Technology and Services day::2026-08-28 chat::2026-08-28_-_Chat_3_—_Global_Infrastructure_&_VPC type::comparison topic::Storage topic::Global_infrastructure"
"clf-c02-2026-08-28-030"	"Which THREE factors commonly influence AWS Region selection?"	"Latency to users, regulatory or data-location requirements, and service availability or price."	"Region choice is a business and technical decision; no single Region is best for every workload.<br><strong>Example:</strong> A company chooses Frankfurt because its users are nearby, required services are available, and data must remain in the EU."	"CLF-C02 Cloud Concepts day::2026-08-28 chat::2026-08-28_-_Chat_3_—_Global_Infrastructure_&_VPC type::multiple-response topic::Global_infrastructure topic::Region_selection"
"clf-c02-2026-08-28-031"	"Which two practices best protect the AWS account root user?"	"Enable MFA and reserve the root user for tasks that explicitly require it."	"The root user has unrestricted account access and should not be used for routine administration.<br><strong>Example:</strong> An administrator uses a normal role every day and opens the root account only for a task that specifically requires root."	"CLF-C02 Security and Compliance day::2026-08-28 chat::2026-08-28_-_Chat_2_—_IAM,_CloudFront_&_Monitoring type::scenario topic::Root_user topic::MFA"
"clf-c02-2026-08-28-032"	"Does an IAM user require its own external email address or payment method?"	"No. It is an identity defined inside one AWS account."	"Usage performed by the IAM user is billed to the AWS account.<br><strong>Example:</strong> A developer can have an IAM identity inside the company account without owning a separate AWS account, email subscription, or payment method."	"CLF-C02 Security and Compliance day::2026-08-28 chat::2026-08-28_-_Chat_2_—_IAM,_CloudFront_&_Monitoring type::recall topic::IAM_users topic::Identities"
"clf-c02-2026-08-28-033"	"Distinguish authentication from authorization."	"Authentication verifies who the caller is; authorization determines what that identity may do."	"Both are required to securely evaluate AWS requests.<br><strong>Example:</strong> Signing in proves Alice’s identity; her policies then decide whether she may read a particular S3 bucket."	"CLF-C02 Security and Compliance day::2026-08-28 chat::2026-08-28_-_Chat_2_—_IAM,_CloudFront_&_Monitoring type::comparison topic::Authentication topic::Authorization"
"clf-c02-2026-08-28-034"	"What permissions does a newly created IAM identity receive merely by existing?"	"None. Permissions must be granted through applicable authorization policies and mechanisms."	"AWS access is not granted automatically to a new identity.<br><strong>Example:</strong> A newly created analyst user cannot open an S3 report until an applicable policy explicitly grants read access."	"CLF-C02 Security and Compliance day::2026-08-28 chat::2026-08-28_-_Chat_2_—_IAM,_CloudFront_&_Monitoring type::recall topic::IAM_policies topic::Default_permissions"
"clf-c02-2026-08-28-035"	"Complete the common IAM policy elements: Effect, Action, Resource, and optional ________."	"Condition."	"Conditions narrow when a statement applies, such as by source, time, tags, or other context keys.<br><strong>Example:</strong> A policy permits an administrative action only when the request is authenticated with MFA."	"CLF-C02 Security and Compliance day::2026-08-28 chat::2026-08-28_-_Chat_2_—_IAM,_CloudFront_&_Monitoring type::cloze topic::IAM_policies topic::JSON"
"clf-c02-2026-08-28-036"	"A developer needs read access to one S3 bucket for one project. Which approach follows least privilege?"	"Grant only the required read actions on that bucket, not broad administrator or all-S3 permissions."	"Least privilege limits permissions to the task and resource actually required.<br><strong>Example:</strong> A reporting user receives only read access to one reports bucket, not administrator access to the account."	"CLF-C02 Security and Compliance day::2026-08-28 chat::2026-08-28_-_Chat_2_—_IAM,_CloudFront_&_Monitoring type::scenario topic::Least_privilege topic::IAM_policies"
"clf-c02-2026-08-28-037"	"What are the two parts of an IAM access key?"	"An access key ID and a secret access key."	"Both are used to sign programmatic requests; the secret access key is retrievable only when created.<br><strong>Example:</strong> A CLI profile may contain AKIA… as the access key ID and a separate secret value used together to sign requests."	"CLF-C02 Security and Compliance day::2026-08-28 chat::2026-08-28_-_Chat_6_—_CloudFormation,_CDK_&_Responsibility type::recall topic::Access_keys topic::Programmatic_access"
"clf-c02-2026-08-28-038"	"How can an IAM user rotate an access key without an abrupt application outage?"	"Create the second key, update and test the application, then deactivate and delete the old key."	"An IAM user can have at most two access keys, which supports an overlap during rotation.<br><strong>Example:</strong> Create a second key, switch and test the application with it, and only then deactivate and remove the first key."	"CLF-C02 Security and Compliance day::2026-08-28 chat::2026-08-28_-_Chat_6_—_CloudFormation,_CDK_&_Responsibility type::scenario topic::Access_keys topic::Rotation"
"clf-c02-2026-08-28-039"	"What is the preferred alternative to long-lived access keys for AWS workloads?"	"IAM roles and temporary security credentials."	"Temporary credentials reduce the risk and maintenance burden of static secrets.<br><strong>Example:</strong> An EC2 application assumes a role and receives temporary credentials instead of storing a secret key in a file."	"CLF-C02 Security and Compliance day::2026-08-28 chat::2026-08-28_-_Chat_6_—_CloudFormation,_CDK_&_Responsibility type::recall topic::Temporary_credentials topic::IAM_roles"
"clf-c02-2026-08-28-040"	"Who patches the guest operating system on an Amazon EC2 instance?"	"The customer."	"AWS secures the physical infrastructure and virtualization layer; the customer manages the guest OS and applications.<br><strong>Example:</strong> For EC2, AWS maintains the physical host, but the customer installs operating-system security updates."	"CLF-C02 Security and Compliance day::2026-08-28 chat::2026-08-28_-_Chat_6_—_CloudFormation,_CDK_&_Responsibility type::scenario topic::Shared_responsibility topic::EC2"
"clf-c02-2026-08-28-041"	"Which Lambda security responsibilities remain with the customer?"	"Function code and libraries, data, IAM permissions, and resource configuration."	"AWS manages the underlying infrastructure, operating system, and managed runtime platform.<br><strong>Example:</strong> AWS patches Lambda infrastructure, while the customer fixes a vulnerable library bundled with the function."	"CLF-C02 Security and Compliance day::2026-08-28 chat::2026-08-28_-_Chat_6_—_CloudFormation,_CDK_&_Responsibility type::scenario topic::Shared_responsibility topic::Serverless"
"clf-c02-2026-08-28-042"	"Do service control policies grant permissions?"	"No. SCPs set the maximum available permissions for principals in member accounts."	"IAM or resource policies must still grant access, and an explicit restriction from an applicable SCP limits the result.<br><strong>Example:</strong> An SCP blocks member accounts from disabling CloudTrail, but an IAM role still needs its own permission to use CloudTrail."	"CLF-C02 Security and Compliance day::2026-08-28 chat::2026-08-28_-_Chat_4_—_Edge,_Private_Connectivity_&_Compliance type::recall topic::Organizations topic::Service_control_policies"
"clf-c02-2026-08-28-043"	"A company needs to record resource configurations and evaluate them continuously against rules. Which service fits?"	"AWS Config. It records resource configuration history and evaluates resources against compliance rules."	"AWS Config records supported configuration history and evaluates compliance. Remediation is optional and must be configured.<br><strong>Example:</strong> Config shows that a security group became noncompliant after someone opened port 22 to the whole internet."	"CLF-C02 Security and Compliance day::2026-08-28 chat::2026-08-28_-_Chat_4_—_Edge,_Private_Connectivity_&_Compliance type::scenario topic::Compliance topic::Configuration_auditing"
"clf-c02-2026-08-28-044"	"Distinguish data residency from data sovereignty."	"Residency is where data is physically stored; sovereignty is the legal jurisdiction and authority governing it."	"Compliance requirements may impose controls based on both location and jurisdiction.<br><strong>Example:</strong> Customer records may physically reside in Germany, while applicable law determines which government has legal authority over them."	"CLF-C02 Security and Compliance day::2026-08-28 chat::2026-08-28_-_Chat_4_—_Edge,_Private_Connectivity_&_Compliance type::comparison topic::Compliance topic::Data_governance"
"clf-c02-2026-08-28-045"	"Which AWS environment is designed for eligible U.S. government and highly regulated workloads with isolated Regions?"	"AWS GovCloud (US)."	"GovCloud has specific eligibility and access requirements; it is not simply a general Region available to any individual.<br><strong>Example:</strong> An eligible U.S. government contractor runs a regulated workload in an isolated AWS GovCloud (US) Region."	"CLF-C02 Security and Compliance day::2026-08-28 chat::2026-08-28_-_Chat_4_—_Edge,_Private_Connectivity_&_Compliance type::scenario topic::Compliance topic::Government_workloads"
"clf-c02-2026-08-28-046"	"List the defining characteristics of a security group."	"It is stateful, applies at the resource network-interface level, and supports allow rules only."	"Security groups evaluate all applicable rules and automatically allow response traffic for an allowed flow.<br><strong>Example:</strong> A web server security group permits inbound HTTPS, and the response traffic is allowed automatically."	"CLF-C02 Security and Compliance day::2026-08-28 chat::2026-08-28_-_Chat_3_—_Global_Infrastructure_&_VPC type::recall topic::Network_security topic::Security_groups"
"clf-c02-2026-08-28-047"	"List the defining characteristics of a network ACL."	"It is stateless, applies at subnet boundaries, supports allow and deny rules, and processes numbered rules in ascending order."	"Inbound and outbound traffic are evaluated separately.<br><strong>Example:</strong> A subnet NACL denies a known malicious CIDR and separately permits the required inbound and outbound traffic."	"CLF-C02 Security and Compliance day::2026-08-28 chat::2026-08-28_-_Chat_3_—_Global_Infrastructure_&_VPC type::recall topic::Network_security topic::Network_ACLs"
"clf-c02-2026-08-28-048"	"When should a security group be preferred over a network ACL?"	"Use security groups for fine-grained resource access; use NACLs as coarse-grained subnet guardrails or defense in depth."	"Security groups are more versatile because they are stateful and can reference other security groups.<br><strong>Example:</strong> Use a security group to allow HTTPS to selected servers; add a NACL when the whole subnet needs a coarse rule such as denying one CIDR."	"CLF-C02 Security and Compliance day::2026-08-28 chat::2026-08-28_-_Chat_3_—_Global_Infrastructure_&_VPC type::comparison topic::Network_security"
"clf-c02-2026-08-28-049"	"A security group allows an inbound HTTPS request. Must a separate outbound rule allow the response to that request?"	"No. Response traffic is automatically allowed because security groups are stateful."	"State tracking permits the return flow regardless of outbound rules.<br><strong>Example:</strong> A web server security group permits inbound HTTPS, and the response traffic is allowed automatically."	"CLF-C02 Security and Compliance day::2026-08-28 chat::2026-08-28_-_Chat_3_—_Global_Infrastructure_&_VPC type::scenario topic::Network_security topic::Stateful_firewalls"
"clf-c02-2026-08-28-050"	"Which VPC control can explicitly deny a known malicious IP range for an entire subnet?"	"A network ACL. It can apply an explicit deny rule to traffic crossing the subnet boundary."	"NACLs support deny rules at subnet boundaries; security groups support allow rules only.<br><strong>Example:</strong> A subnet NACL denies a known malicious CIDR and separately permits the required inbound and outbound traffic."	"CLF-C02 Security and Compliance day::2026-08-28 chat::2026-08-28_-_Chat_3_—_Global_Infrastructure_&_VPC type::scenario topic::Network_security topic::Explicit_deny"
"clf-c02-2026-08-28-051"	"Is an S3 bucket placed inside a customer VPC subnet?"	"No. S3 is a managed Regional service outside customer subnets."	"VPC resources can reach S3 through public service endpoints or supported VPC endpoints.<br><strong>Example:</strong> An S3 bucket is not launched into 10.0.1.0/24; private VPC resources reach the Regional S3 service through an endpoint."	"CLF-C02 Cloud Technology and Services day::2026-08-28 chat::2026-08-28_-_Chat_3_—_Global_Infrastructure_&_VPC type::recall topic::Storage topic::VPC_architecture"
"clf-c02-2026-08-28-052"	"Which services support gateway VPC endpoints, and what is the endpoint charge?"	"Amazon S3 and DynamoDB; there is no additional charge for the gateway endpoint."	"Gateway endpoints add service-prefix routes to selected VPC route tables.<br><strong>Example:</strong> A route table can send private S3 or DynamoDB traffic through a free gateway endpoint instead of a NAT gateway."	"CLF-C02 Cloud Technology and Services day::2026-08-28 chat::2026-08-28_-_Chat_4_—_Edge,_Private_Connectivity_&_Compliance type::recall topic::VPC_endpoints topic::Gateway_endpoints"
"clf-c02-2026-08-28-053"	"How does an interface VPC endpoint connect a VPC privately to a service?"	"It creates elastic network interfaces with private IP addresses and uses AWS PrivateLink."	"Interface endpoints can use security groups and normally incur endpoint-hour and data-processing charges.<br><strong>Example:</strong> A private application reaches Secrets Manager through private endpoint IP addresses protected by a security group."	"CLF-C02 Cloud Technology and Services day::2026-08-28 chat::2026-08-28_-_Chat_4_—_Edge,_Private_Connectivity_&_Compliance type::recall topic::VPC_endpoints topic::Interface_endpoints"
"clf-c02-2026-08-28-054"	"EC2 instances in a private subnet need ordinary same-Region access to S3 without a NAT gateway and without an endpoint-hour charge. What should be used?"	"An S3 gateway VPC endpoint. It provides private S3 access through route-table entries without an hourly endpoint charge."	"A gateway endpoint routes S3 traffic through selected route tables with no additional endpoint charge.<br><strong>Example:</strong> Private instances reach S3 through a route-table entry without using a NAT gateway."	"CLF-C02 Cloud Technology and Services day::2026-08-28 chat::2026-08-28_-_Chat_4_—_Edge,_Private_Connectivity_&_Compliance type::scenario topic::VPC_endpoints topic::Service_selection"
"clf-c02-2026-08-28-055"	"A company needs a dedicated, predictable network connection from its data center to AWS. Which service fits?"	"AWS Direct Connect."	"Direct Connect establishes dedicated connectivity for hybrid bandwidth and consistency requirements.<br><strong>Example:</strong> A data center uses a dedicated link to AWS for more consistent hybrid network performance than an internet-based connection."	"CLF-C02 Cloud Technology and Services day::2026-08-28 chat::2026-08-28_-_Chat_4_—_Edge,_Private_Connectivity_&_Compliance type::scenario topic::Hybrid_networking"
"clf-c02-2026-08-28-056"	"Which service caches HTTP/HTTPS content at edge locations close to viewers?"	"Amazon CloudFront. It caches web content near viewers to reduce latency and origin load."	"CloudFront is AWS’s content delivery network and reduces origin load and viewer latency.<br><strong>Example:</strong> A website caches images at edge locations so distant visitors do not fetch every image from the origin Region."	"CLF-C02 Cloud Technology and Services day::2026-08-28 chat::2026-08-28_-_Chat_2_—_IAM,_CloudFront_&_Monitoring type::scenario topic::Content_delivery topic::Caching"
"clf-c02-2026-08-28-057"	"What does a CloudFront invalidation do?"	"It removes selected objects from CloudFront caches before their normal expiration."	"Use invalidation when updated content must be fetched from the origin before its TTL expires.<br><strong>Example:</strong> After correcting a CSS file, a team invalidates that path so viewers receive the new version before the old TTL expires."	"CLF-C02 Cloud Technology and Services day::2026-08-28 chat::2026-08-28_-_Chat_2_—_IAM,_CloudFront_&_Monitoring type::recall topic::Content_delivery topic::Caching"
"clf-c02-2026-08-28-058"	"What does AWS Global Accelerator provide for an IPv4 accelerator by default?"	"Two static anycast IPv4 addresses that route supported traffic through the AWS global network."	"Global Accelerator improves network-path performance and failover without caching application content.<br><strong>Example:</strong> A global game uses two fixed anycast IP addresses to route UDP players onto the AWS network without caching content."	"CLF-C02 Cloud Technology and Services day::2026-08-28 chat::2026-08-28_-_Chat_4_—_Edge,_Private_Connectivity_&_Compliance type::recall topic::Network_acceleration topic::Anycast"
"clf-c02-2026-08-28-059"	"When should CloudFront be selected instead of Global Accelerator?"	"Choose CloudFront when HTTP/HTTPS content should be cached; choose Global Accelerator for network acceleration and static anycast entry points without caching."	"Both use edge infrastructure, but they solve different layers of the problem.<br><strong>Example:</strong> CloudFront caches website images near viewers; Global Accelerator instead speeds a non-cacheable game connection through static anycast IPs."	"CLF-C02 Cloud Technology and Services day::2026-08-28 chat::2026-08-28_-_Chat_4_—_Edge,_Private_Connectivity_&_Compliance type::comparison topic::Content_delivery topic::Network_acceleration"
"clf-c02-2026-08-28-060"	"Globally distributed users must upload large files to one distant S3 bucket faster. Which feature should be evaluated?"	"S3 Transfer Acceleration. It uses AWS edge locations and optimized network paths to speed long-distance S3 transfers."	"It uses AWS edge infrastructure and optimized network paths for long-distance S3 transfers.<br><strong>Example:</strong> Users in several continents upload large video files to one distant S3 bucket through nearby AWS edge locations."	"CLF-C02 Cloud Technology and Services day::2026-08-28 chat::2026-08-28_-_Chat_4_—_Edge,_Private_Connectivity_&_Compliance type::scenario topic::Data_transfer topic::Edge_networking"
"clf-c02-2026-08-28-061"	"Distinguish AWS Local Zones from AWS Wavelength."	"Local Zones place selected AWS infrastructure near metro areas; Wavelength places infrastructure within communications-provider networks for carrier-edge workloads."	"Both reduce latency, but the target access environment differs.<br><strong>Example:</strong> A metro rendering workload may use a Local Zone, while a 5G vehicle application may use a Wavelength Zone inside a carrier network."	"CLF-C02 Cloud Technology and Services day::2026-08-28 chat::2026-08-28_-_Chat_4_—_Edge,_Private_Connectivity_&_Compliance type::comparison topic::Edge_computing"
"clf-c02-2026-08-28-062"	"A workload needs AWS-managed infrastructure installed at the customer’s premises for local processing. Which service fits?"	"AWS Outposts. It brings AWS-managed infrastructure and selected services into the customer’s own facility."	"Outposts extends AWS infrastructure, APIs, and selected services to customer locations.<br><strong>Example:</strong> A factory processes data locally on AWS-managed racks installed in its own building because it needs very low on-premises latency."	"CLF-C02 Cloud Technology and Services day::2026-08-28 chat::2026-08-28_-_Chat_4_—_Edge,_Private_Connectivity_&_Compliance type::scenario topic::Hybrid_cloud topic::On-premises"
"clf-c02-2026-08-28-063"	"What storage model does Amazon S3 provide?"	"Regional object storage accessed through APIs."	"S3 stores objects in buckets; prefixes create a folder-like view but not a traditional mounted file system.<br><strong>Example:</strong> A photo is stored as an object in a bucket and retrieved through an S3 API request rather than mounted as a disk block."	"CLF-C02 Cloud Technology and Services day::2026-08-28 chat::2026-08-28_-_Chat_2_—_IAM,_CloudFront_&_Monitoring type::recall topic::Storage topic::Object_storage"
"clf-c02-2026-08-28-064"	"What storage model does Amazon EBS provide?"	"Durable block storage volumes for Amazon EC2."	"An EBS volume behaves like a block device and must be in the same AZ as the attached instance.<br><strong>Example:</strong> A database server attaches an EBS volume as a block device in the same Availability Zone."	"CLF-C02 Cloud Technology and Services day::2026-08-28 chat::2026-08-28_-_Chat_7_—_Compute,_Containers,_HPC_&_Storage type::recall topic::Storage topic::Block_storage"
"clf-c02-2026-08-28-065"	"Is it always true that one EBS volume can attach to only one EC2 instance?"	"No. That is the normal model, but supported io1/io2 volumes can use Multi-Attach with multiple Nitro-based instances in the same AZ."	"Multi-Attach is constrained and requires applications or clustered file systems that safely coordinate writes.<br><strong>Example:</strong> Two supported Nitro instances in one AZ attach the same io2 volume, while a cluster-aware application coordinates their writes."	"CLF-C02 Cloud Technology and Services day::2026-08-28 chat::2026-08-28_-_Chat_7_—_Compute,_Containers,_HPC_&_Storage type::scenario topic::Storage topic::Multi-Attach"
"clf-c02-2026-08-28-066"	"What storage model and protocol does Amazon EFS provide?"	"Elastic shared file storage using NFS."	"Multiple compute instances can mount the same EFS file system. EFS does not provide SMB.<br><strong>Example:</strong> Hundreds of Linux EC2 instances mount the same EFS directory over NFS."	"CLF-C02 Cloud Technology and Services day::2026-08-28 chat::2026-08-28_-_Chat_7_—_Compute,_Containers,_HPC_&_Storage type::recall topic::Storage topic::File_storage"
"clf-c02-2026-08-28-067"	"Match S3, EBS, and EFS to their primary access models."	"S3 = object/API; EBS = EC2 block device; EFS = shared NFS file system."	"Choose storage by access semantics, sharing, and workload needs.<br><strong>Example:</strong> Store photos as S3 objects, attach EBS as one server’s disk, and mount EFS when many Linux servers need the same directory."	"CLF-C02 Cloud Technology and Services day::2026-08-28 chat::2026-08-28_-_Chat_7_—_Compute,_Containers,_HPC_&_Storage type::comparison topic::Storage topic::Service_selection"
"clf-c02-2026-08-28-068"	"Does an EBS volume always survive termination of its EC2 instance?"	"Not always. EBS can persist independently, but a delete-on-termination setting may remove it."	"Persistence capability and lifecycle configuration are different facts.<br><strong>Example:</strong> A root EBS volume marked delete-on-termination disappears with the instance, while a retained data volume can survive."	"CLF-C02 Cloud Technology and Services day::2026-08-28 chat::2026-08-28_-_Chat_7_—_Compute,_Containers,_HPC_&_Storage type::scenario topic::Storage topic::Persistence"
"clf-c02-2026-08-28-069"	"What persistent storage does a standard AWS CloudShell environment provide?"	"A 1 GB home directory per supported Region, retained until 120 days of inactivity in that Region."	"Temporary storage outside the home directory is recycled; CloudShell VPC environments do not have the same persistent home storage.<br><strong>Example:</strong> A script saved in the CloudShell home directory remains available when the user returns to that Region later."	"CLF-C02 Cloud Technology and Services day::2026-08-28 chat::2026-08-28_-_Chat_6_—_CloudFormation,_CDK_&_Responsibility type::recall topic::Developer_tools topic::Persistent_storage"
"clf-c02-2026-08-28-070"	"What are the main functions of Amazon CloudWatch?"	"Collect metrics and logs, visualize dashboards, and create alarms and automated responses."	"CloudWatch focuses on operational telemetry and application/resource health.<br><strong>Example:</strong> A CloudWatch alarm sends a notification when an application’s error metric exceeds its threshold."	"CLF-C02 Cloud Technology and Services day::2026-08-28 chat::2026-08-28_-_Chat_2_—_IAM,_CloudFront_&_Monitoring type::recall topic::Monitoring topic::Observability"
"clf-c02-2026-08-28-071"	"An administrator wants EC2 guest-memory utilization in CloudWatch. Is it available as a standard EC2 metric?"	"No. Install the CloudWatch agent or publish a custom metric."	"The EC2 service exposes infrastructure metrics such as CPU, but guest OS memory requires in-instance telemetry.<br><strong>Example:</strong> The CloudWatch agent running inside an EC2 instance publishes memory utilization that EC2 does not provide by default."	"CLF-C02 Cloud Technology and Services day::2026-08-28 chat::2026-08-28_-_Chat_2_—_IAM,_CloudFront_&_Monitoring type::scenario topic::Monitoring topic::EC2_metrics"
